Abandoned Carts Email,Email des paniers abandonn&eacute;s
Abandoned Carts Emails,Emails des paniers abandonn&eacute;s
Enable Abandoned Carts Notification,Activer les notifications de paniers abandonn&eacute;s
Enable Sale Abandoned Carts Notification,Activer les notifications de paniers abandonn&eacute;s en promo
Dry Run,Test
Test Email,Email de test
Send Notifications Now,Envoyer les notification maintenant
Cron Schedule,R&eacute;glage du cron
Sender Name,Nom de l'exp&eacute;diteur
Sender Email,Email de l'exp&eacute;diteur
Email Template for Unaltered Abandoned Carts,Gabarit d'email pour les paniers abandonn&eacute;s non modifi&eacute;s
(days). NB: this only affects unaltered abandoned carts. If products go on sale, the email below is sent on the same day.,(jours). NB: cela affecte seulement les paniers abandonn&eacute;s non modifi&eacute;s. Si un des produits passent en promotion, l'email ci dessous sera envoy&eacute; le m�me jour.
Email Template for Sale Products,Gabarit d'email pour les produits en promo
Customer Groups Restriction,Restriction de groupes clients
With dry run set to yes, this email is used as a recipient email replacement so the real customer don't receive the email.,Avec Test à Oui, cet email sera utilis&eacute; en remplacement de l'email du client afin qu'il ne recoive pas l'email
Setting this parameter to Yes will not send the real email notification.,Si oui, les emails ne seront pas envoyés
Delay / Send Abandoned Cart Email After,Delai / Envoyer les emails de notifications apr&eacute;s
Abandoned Carts (Applied delay: %s days),Paniers Abandonn&eacute;s (Delai appliqu&eacute;: %s jours)
Send notifications,Envoyer les notifications
Abandoned Carts Logs,Logs de paniers abandonn&eacute;s
Sale Abandoned Carts,Paniers abandonn&eacute;s en promotion
Customer Email,Email client
Customer Firstname,Pr&eacute;nom client
Customer Lastname,Nom de famille client
Product Ids,Ids Produits
Product Names,Noms Produits
Cart Total,Total Panier
Cart Updated At,Mise &agrave; jour panier
Send notification,Envoyer notification
Type,Type
Comment,Commentaire
Store #,Boutique #
Cart Regular Total,Total panier
Cart Sale Total,Total panier en promotion
%sTotal of %d customer(s) were successfully notified,%s%d client(s) ont bien &eacute;t&eacute; notifi&eacute;
Logs,Logs
Abandoned Carts List,Liste des paniers abandonn&eacute;s
Abandoned Carts Sale List,Liste des paniers abandonn&eacute;s en promotion
Enable Automatic login link in the email,Activer le lien de connexion automatique dans l'email
Autologin links are one use only and expire after 48 hours for security reasons.,Les liens de connexion automatiques sont &agrave; usage unique et expirent au bout de 48 heures pour des raisons de s&eacute;rit&eacute;
Google Campaign Tracker,Tracker Google Campaign
Campaign Name,Nom de la campagne
Test and debug,Test et d&eacute;boguage
Enable Log,Activer les logs
Setting this parameter to Yes will log abandoned cart actions so it can be viewed in Digital Pianism > Abandoned Carts > Logs,Si oui, les logs seront visualisables dans Digital Pianism > Paniers Abandonn&eacute;s > Logs
